variable,n_total,n_enteritis_0,n_enteritis_1,median_enteritis_0,median_enteritis_1,mean_enteritis_0,mean_enteritis_1,mannwhitney_u,p_mannwhitney,spearman_rho,p_spearman,cliffs_delta,cliffs_delta_magnitude,score_distribution,n_unique_scores,p_mannwhitney_fdr,reject_fdr_0_05,priority_score
MononuclearInfiltration,182,145,37,1.0,2.0,1.1517241379310346,2.5135135135135136,412.0,1.1262490251313998e-22,0.7285860920645361,2.1291957781443115e-31,0.8464119291705499,large,1:126; 2:42; 3:9; 4:2; 5:3,5,9.009992201051199e-22,True,31.916561807554743
LaminaPropriaThickness,182,145,37,2.0,2.0,1.5862068965517242,2.3783783783783785,1365.0,4.602860106661496e-07,0.37492370936551617,1.841890321470303e-07,0.4911463187325256,large,1:75; 2:83; 3:20; 4:3; 5:1,5,1.8411440426645985e-06,True,5.046814909934583
MucosalFoldArchitecture,182,145,37,2.0,3.0,2.3517241379310345,3.081081081081081,1568.0,2.7753127137109664e-05,0.3116663279217761,1.8455401166575686e-05,0.41547064305684994,medium,1:19; 2:71; 3:77; 4:12; 5:3,5,5.550625427421933e-05,True,3.168011707107411
StratumCompactumBaseFolds,182,145,37,2.0,2.0,1.8551724137931034,2.4864864864864864,1628.5,2.055319713997933e-05,0.31670396855624733,1.325900415862691e-05,0.39291705498602053,medium,1:39; 2:113; 3:26; 4:2; 5:2,5,5.4808525706611545e-05,True,2.9999056958013894
SupranuclearVacuolation,182,145,37,3.0,4.0,3.0620689655172413,3.6216216216216215,1921.0,0.0060227755259307575,0.20428275562441495,0.005671917074434431,0.2838769804287046,small,1:10; 2:46; 3:57; 4:40; 5:29,5,0.009636440841489211,True,1.025459154044526
SubmucosaThickness,182,145,37,2.0,2.0,1.6689655172413793,1.7837837837837838,2591.5,0.7208969221248102,0.026701663922772425,0.7204877324291363,0.03392357875116496,negligible,1:71; 2:98; 3:11; 4:2,4,0.9611958961664135,False,0.0009384336258852073
GobletCells,182,145,37,2.0,2.0,2.2413793103448274,2.2432432432432434,2732.5,0.855774048233439,-0.013646295950584772,0.8549245955871129,-0.01863932898415657,negligible,1:49; 2:74; 3:31; 4:22; 5:6,5,0.978027483695359,False,0.0003222475520404126
EosinophilicGranularCells,182,145,37,2.0,2.0,2.1379310344827585,2.1621621621621623,2687.0,0.985848404816996,-0.0014832055511847543,0.9841457343930121,-0.0016775396085740913,negligible,1:15; 2:131; 3:31; 4:5,4,0.985848404816996,False,1.6711982559522534e-05
