variable,n_total,n_enteritis_0,n_enteritis_1,median_enteritis_0,median_enteritis_1,mean_enteritis_0,mean_enteritis_1,mannwhitney_u,p_mannwhitney,spearman_rho,p_spearman,cliffs_delta,cliffs_delta_magnitude,p_mannwhitney_fdr,reject_fdr_0_05,priority_score
villus_width_mean_um,182,145,37,13.3,22.4,14.999310344827586,31.105405405405406,1115.0,4.2859398922905223e-08,0.40735445307593926,1.1490158985247269e-08,0.5843429636533085,large,2.5715639353743134e-07,True,3.8507048241730035
villus_width_median_um,182,145,37,12.6,20.4,14.507586206896555,27.554054054054053,1189.5,1.8058437260135112e-07,0.38800224389989457,6.235972180855099e-08,0.5565703634669152,large,5.417531178040534e-07,True,3.487580421573933
villus_width_sd_um,182,145,37,3.1,7.0,4.866896551724138,15.643243243243244,1332.0,2.3554686757565776e-06,0.350983884384981,1.1866720461395087e-06,0.503448275862069,large,4.710937351513155e-06,True,2.681814931016171
villus_length_sd_um,182,145,37,163.6,171.8,179.5503448275862,215.7918918918919,2301.5,0.18343320216080472,0.09900724681936565,0.1836014533127893,0.14203168685927306,negligible,0.2751498032412071,False,0.07959893095666797
villus_length_mean_um,182,145,37,618.1,613.4,643.1331034482757,651.1675675675676,2647.0,0.902611761393436,0.00922508008655239,0.9016333473449923,0.013233923578751165,negligible,0.9303513679953322,False,0.00041492319860548767
villus_length_median_um,182,145,37,611.2,578.0,621.6696551724139,617.0297297297298,2708.0,0.9303513679953322,-0.0066265286338084385,0.9292553266396997,-0.00950605778191985,negligible,0.9303513679953322,False,0.0002980434243504207
